Complexe sportif secteur Dolbeau,"105, rue de l'Église",Dolbeau-Mistassini
Gestion aréna Chibougamau,"155, Avenue du Parc, C.P. 55",Chibougamau
Membre honoraire,C.P. 73,Roberval
Membre honoraire,"620, Dequen",Dolbeau-Mistassini
Membre honoraire,"1300, boul. Gagnon",Saint-Félicien
Municipalité de la Paroisse de La Doré - Complexe sportif,"5000, rue des Peupliers",La Doré
Municipalité de Saint-Ambroise,"330, rue Gagnon",Saint-Ambroise
Pavillon de Service de l'UQAC,"555, Boul. de l'Université",Saguenay (Chicoutimi)
Saguenay - Centre des sports Jean-Claude-Temblay,"422, Victoria",Saguenay (La Baie)
Saguenay - Les arénas de Chicoutimi,"201, rue Racine Est, C.P. 129",Saguenay (Chicoutimi)
